dG_exp,dG_vdw,dG_cav,dG_elec
-9.424705188,-60.419,4.2442,-10.7472
-10.66426029,-61.887,4.81574,-6.8594
-11.5267687,-65.864,4.35273,-21.5422
-9.644880746,-60.507,4.13095,-1.6778
-10.59795869,-65.093,5.3703,-14.2484
-9.540441588,-50.938,4.0631,-33.922
-9.484595671,-51.858,4.26194,-17.287
-10.63018816,-65.155,4.8069,-11.4058
-8.903569236,-55.118,3.6969,-10.8224
-10.87188591,-65.152,4.82151,-9.5768
-9.165727966,-55.791,4.37415,-13.2122
-9.460843525,-51.517,3.68919,-16.754
-9.975305375,-59.07,4.4723,-4.2698
-10.09738332,-58.702,5.12101,-19.653
-9.607996818,-60.403,4.4251,-5.6374
-9.837890222,-65.125,4.30368,-7.049
-9.200802788,-52.312,3.19458,-11.5874
-9.451601479,-53.897,3.41002,-16.911
-10.87188591,-65.017,4.9794,-8.348
-10.63018816,-64.864,4.13236,-17.3894
-9.846721495,-67.033,4.64983,-6.764
-10.87188591,-64.578,4.8125,-6.957
-9.086129903,-57.39,4.3222,-15.0858
-8.360301178,-49.325,2.17705,-8.8236
-9.288193119,-54.665,2.968,-0.6872
-9.241284658,-59.889,1.96311,-6.582
-9.953626623,-60.286,4.58246,0.1282
